decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
1749536149.0,0.369,-0.555,0.782,0.0,-0.1,-0.1,-35.3,-21.1,0.0,35.14735794067383,129.0233917236328,112.8
1749536156.0,0.369,-0.555,0.781,0.0,0.0,-0.1,-35.3,-21.1,0.0,35.14737319946289,129.02333068847656,111.8
1749536163.0,0.369,-0.556,0.779,0.0,0.0,0.0,-35.3,-21.1,0.0,35.14738082885742,129.0233154296875,108.3
1749536170.0,0.371,-0.554,0.778,-0.1,0.0,0.0,-35.4,-21.1,0.0,35.14738845825195,129.02330017089844,106.3
1749536178.0,0.37,-0.555,0.78,-0.1,0.0,0.0,-35.4,-21.1,0.0,35.14738845825195,129.02328491210938,104.8
1749536185.0,0.37,-0.553,0.781,0.0,-0.1,0.0,-35.4,-21.1,0.0,35.147430419921875,129.0231475830078,105.9
1749536192.0,0.37,-0.555,0.78,0.0,-0.1,0.0,-35.4,-21.1,0.0,35.14743423461914,129.02313232421875,106.0
1749536199.0,0.368,-0.556,0.78,0.0,0.0,0.0,-35.4,-21.1,0.0,35.147438049316406,129.0231170654297,106.2
1749536206.0,0.369,-0.556,0.781,0.0,0.0,0.0,-35.4,-21.1,0.0,35.14744186401367,129.0231170654297,106.5
1749536213.0,0.37,-0.553,0.779,0.0,0.0,0.1,-35.4,-21.1,0.0,35.14744567871094,129.02310180664062,106.5
1749536220.0,0.37,-0.552,0.78,0.0,-0.1,0.0,-35.4,-21.1,0.0,35.14744567871094,129.02310180664062,106.1
1749536533.0,0.375,-0.55,0.781,0.0,0.0,0.0,-35.1,-21.4,0.6,35.14763641357422,129.02362060546875,143.2
1749536572.0,0.372,-0.275,0.912,-3.9,0.3,2.0,-25.3,-22.8,-91.9,35.14741134643555,129.02317810058594,100.1
1749536579.0,0.37,-0.293,0.935,-3.7,0.1,-1.7,-25.3,-22.8,-91.9,35.14742660522461,129.02317810058594,100.8
1749536587.0,0.38,-0.329,0.922,-3.4,3.4,-8.4,-25.2,-22.8,-92.0,35.14744186401367,129.02317810058594,101.7
1749536594.0,0.418,-0.352,0.889,-5.0,5.9,-9.7,-25.2,-22.8,-92.2,35.1474494934082,129.023193359375,102.9
1749536601.0,0.419,-0.411,0.874,-5.7,6.8,-12.9,-25.2,-22.8,-92.3,35.1474494934082,129.023193359375,103.8
1749536608.0,0.42,-0.439,0.854,-6.9,6.5,-11.0,-25.2,-22.8,-92.5,35.1474494934082,129.023193359375,104.8
1749536616.0,0.428,-0.431,0.83,-7.6,5.6,-5.5,-25.3,-22.8,-92.5,35.14745330810547,129.02320861816406,106.5
1749536623.0,0.44,-0.428,0.808,-6.7,3.6,-0.8,-25.4,-22.8,-92.6,35.1474494934082,129.02320861816406,106.9
1749536630.0,0.445,-0.444,0.794,-3.9,1.1,-0.9,-25.4,-22.8,-92.6,35.1474494934082,129.02320861816406,107.4
1749536638.0,0.424,-0.462,0.816,-2.5,-2.1,2.8,-25.5,-22.8,-92.5,35.1474494934082,129.02320861816406,107.6
1749536645.0,0.414,-0.501,0.812,-0.5,-2.9,3.2,-25.6,-22.8,-92.5,35.14745330810547,129.02320861816406,108.3
1749536652.0,0.409,-0.5,0.81,-0.6,-4.0,6.7,-25.7,-22.8,-92.4,35.14745330810547,129.02320861816406,108.7
1749536659.0,0.396,-0.496,0.814,-0.9,-4.6,9.8,-25.8,-22.8,-92.3,35.14745330810547,129.02320861816406,108.2
1749536667.0,0.392,-0.496,0.805,-0.3,-4.0,8.9,-25.9,-22.8,-92.2,35.147457122802734,129.02320861816406,108.6
1749536674.0,0.341,-0.5,0.848,0.5,-5.6,10.3,-26.0,-22.8,-92.1,35.147457122802734,129.02320861816406,108.4
1749536681.0,0.302,-0.537,0.845,1.5,-3.1,7.0,-26.1,-22.7,-92.0,35.1474609375,129.02320861816406,107.9
1749536689.0,0.342,-0.462,0.807,-1.4,-0.3,8.7,-26.2,-22.7,-91.9,35.147464752197266,129.02320861816406,108.2
1749536696.0,0.365,-0.413,0.807,-2.8,-0.1,5.3,-26.2,-22.6,-91.8,35.1474609375,129.02320861816406,108.7
1749536703.0,0.339,-0.437,0.847,-0.8,0.4,-5.6,-26.2,-22.6,-91.9,35.147464752197266,129.02320861816406,108.1
1749536710.0,0.363,-0.444,0.837,0.6,2.5,-9.8,-26.2,-22.6,-92.0,35.14746856689453,129.02320861816406,107.6
1749536718.0,0.411,-0.437,0.832,0.9,2.8,-9.3,-26.2,-22.7,-92.1,35.147464752197266,129.023193359375,106.4
1749536725.0,0.421,-0.458,0.843,1.4,2.3,-11.5,-26.1,-22.7,-92.2,35.14745330810547,129.023193359375,105.7
1749536732.0,0.43,-0.456,0.852,0.4,2.2,-9.8,-26.1,-22.7,-92.3,35.1474494934082,129.023193359375,104.8
1749536740.0,0.416,-0.462,0.857,0.6,2.5,-7.0,-26.1,-22.7,-92.4,35.1474494934082,129.02317810058594,104.3
1749536747.0,0.417,-0.44,0.84,1.3,2.6,-2.4,-26.1,-22.7,-92.4,35.147457122802734,129.02317810058594,102.9
1749536754.0,0.443,-0.388,0.817,2.1,0.3,5.0,-26.1,-22.8,-92.4,35.1474609375,129.0231475830078,101.9
